state,rainfall_24h_mm,rain_3d_mm,rain_7d_mm,slope_deg,historical_incidents_90d,nearest_river,river_danger_level_m,river_danger_level_is_official,present_river_level_m,river_level_ratio,blocked,month
Arunachal Pradesh,52.87242,78.88695621,245.2972364,29.1,2,Brahmaputra (Dibrugarh gauge),105.7,TRUE,69.23,0.655,1,4
Nagaland,0,0,0,11.6,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,29.91,0.283,0,11
Meghalaya,4.9503527,11.73262048,23.8225832,23,2,Brahmaputra (Guwahati gauge),49.68,TRUE,28.62,0.576,0,7
Arunachal Pradesh,0,2.234251976,2.234251976,28.9,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,93.54,0.885,1,9
Arunachal Pradesh,0,0,0,28,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,34.25,0.324,0,1
Meghalaya,51.00955,192.1054459,445.7537212,14.5,0,Brahmaputra (Dhubri gauge),28.62,TRUE,37.21,1.3,1,6
Mizoram,51.74821,71.27394176,121.125694,23.1,0,Tlawng,9,FALSE,6.19,0.688,0,8
Sikkim,0,20.08542967,31.35504842,33.4,1,Teesta,15,FALSE,13.06,0.871,1,10
Arunachal Pradesh,0,0.893816173,6.819999158,15.3,1,Dikrong,14,FALSE,6.08,0.434,0,3
Tripura,0,14.65164471,33.15201688,12.8,1,Tlawng,9,FALSE,7.55,0.839,1,5
Manipur,0,0,0,18,0,Imphal River,8,FALSE,4.04,0.505,1,12
Assam,0,1.361154556,1.361154556,9.3,1,Kopili,30,FALSE,10.77,0.359,1,11
Arunachal Pradesh,1.8474418,1.847441792,18.15581161,19.1,3,Brahmaputra (Dibrugarh gauge),105.7,TRUE,103.48,0.979,0,8
Arunachal Pradesh,0.15541792,7.037551641,30.93959379,17.4,0,Manas,33,FALSE,13.56,0.411,0,5
Manipur,1.8573085,9.164421797,72.03117156,10.7,0,Imphal River,8,FALSE,7.03,0.879,1,7
Tripura,60.537315,63.17068732,152.5908208,13.5,0,Khowai,10,FALSE,10.12,1.012,0,5
Nagaland,60.05706,105.9423561,209.7751138,17.4,0,Doyang,18,FALSE,14.58,0.81,1,8
Sikkim,0,0,0.186724365,31.9,1,Teesta,15,FALSE,6.19,0.413,0,1
Arunachal Pradesh,0,4.350573063,14.16203392,24.8,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,55.6,0.526,0,5
Assam,0,0,0.883068502,4.6,1,Brahmaputra (Goalpara gauge),36.27,TRUE,31.77,0.876,1,2
Arunachal Pradesh,4.373921,9.975086406,37.4968421,18.6,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,104.96,0.993,1,4
Sikkim,74.081276,223.8862076,303.3505456,33.6,1,Teesta,15,FALSE,14.86,0.991,1,6
Mizoram,1.5201695,36.08676505,50.30672383,25,0,Tlawng,9,FALSE,5.35,0.594,0,6
Meghalaya,120.20156,330.6040039,372.6156416,19.7,1,Brahmaputra (Goalpara gauge),36.27,TRUE,40.66,1.121,1,10
Arunachal Pradesh,2.2424612,37.34332371,91.14619446,13.8,0,Dikrong,14,FALSE,13.23,0.945,1,10
Meghalaya,0,9.673309326,21.03528269,24.7,2,Brahmaputra (Goalpara gauge),36.27,TRUE,29.63,0.817,1,10
Arunachal Pradesh,72.559875,73.15987551,129.3289295,31.1,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,111.72,1.057,1,7
Sikkim,4.2439785,10.1133039,18.16589212,34.2,1,Teesta,15,FALSE,13.88,0.925,1,5
Meghalaya,0,11.03347015,19.86076427,21.1,1,Kopili,30,FALSE,12.99,0.433,1,10
Tripura,0,10.34942722,18.66390848,20.2,1,Gomti,12,FALSE,4.68,0.39,0,5
Meghalaya,51.261578,52.76335275,282.239831,20.5,1,Brahmaputra (Guwahati gauge),49.68,TRUE,36.56,0.736,1,5
Meghalaya,106.45698,109.0551026,141.3397148,20.5,1,Brahmaputra (Guwahati gauge),49.68,TRUE,25.78,0.519,0,4
Sikkim,0,0,0.92211467,31.9,1,Teesta,15,FALSE,5.12,0.341,1,2
Arunachal Pradesh,46.481647,54.65337276,75.37027597,29.7,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,58.24,0.551,1,2
Arunachal Pradesh,60.401756,137.3969269,280.4299088,29.3,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,98.62,0.933,1,7
Tripura,0.96061635,20.73801541,231.1810849,18,1,Gomti,12,FALSE,10.13,0.844,1,6
Tripura,80.09146,169.5767479,207.5577121,14.8,1,Khowai,10,FALSE,7.63,0.763,1,6
Assam,0,0,8.704930305,6.3,1,Brahmaputra (Goalpara gauge),36.27,TRUE,21.83,0.602,0,3
Sikkim,55.81925,157.9240856,254.4873013,29.2,0,Teesta,15,FALSE,12.98,0.865,1,8
Mizoram,15.917517,16.9862878,42.41222521,23.1,0,Tlawng,9,FALSE,5.67,0.63,1,6
Sikkim,0,8.191456556,78.27820754,32.4,0,Teesta,15,FALSE,9.3,0.62,0,6
Sikkim,51.94863,97.36814308,106.4365457,24.1,0,Teesta,15,FALSE,8.5,0.567,0,10
Arunachal Pradesh,0,17.30679321,81.58401203,27.3,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,63.63,0.602,0,5
Meghalaya,0,1.181228399,5.484784126,20,3,Barak,20.5,FALSE,5.64,0.275,1,3
Arunachal Pradesh,92.636246,145.6915817,195.9401662,21.4,2,Brahmaputra (Dibrugarh gauge),105.7,TRUE,98.09,0.928,1,5
Manipur,0.16375823,11.2389483,16.63688071,18,0,Imphal River,8,FALSE,4.52,0.565,0,9
Assam,0,15.13533723,22.0144982,6,1,Brahmaputra (Dhubri gauge),28.62,TRUE,31.42,1.098,1,7
Assam,104.700775,209.3915167,346.9989436,6.7,0,Manas,33,FALSE,30.46,0.923,1,8
Arunachal Pradesh,59.011227,124.7335091,189.4554858,25.2,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,116.27,1.1,1,7
Arunachal Pradesh,15.491901,20.92819762,23.10213995,17.5,0,Subansiri,42,FALSE,22.55,0.537,0,8
Arunachal Pradesh,149.88342,286.6502686,326.0181409,33.6,2,Brahmaputra (Dibrugarh gauge),105.7,TRUE,107.07,1.013,1,6
Arunachal Pradesh,0,0,4.163921833,27.7,5,Brahmaputra (Dibrugarh gauge),105.7,TRUE,96.72,0.915,0,6
Meghalaya,61.675213,82.52595186,163.2967964,21.9,1,Brahmaputra (Guwahati gauge),49.68,TRUE,34.78,0.7,1,7
Manipur,0,0,0,18,0,Imphal River,8,FALSE,3.05,0.381,1,1
Assam,2.4012122,9.447204113,69.33073092,11.2,0,Brahmaputra (Dhubri gauge),28.62,TRUE,15.34,0.536,0,7
Arunachal Pradesh,6.442238,6.442237854,36.12456989,24.1,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,93.97,0.889,1,4
Meghalaya,54.260696,218.8292465,335.7844993,19.7,1,Brahmaputra (Goalpara gauge),36.27,TRUE,38.81,1.07,1,6
Mizoram,81.67185,166.0155735,246.2272053,23.6,0,Tlawng,9,FALSE,6.28,0.698,1,5
Arunachal Pradesh,3.0867035,3.086703539,8.472260475,28.5,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,41.75,0.395,0,3
Tripura,69.44344,238.839447,369.9587202,14.5,0,Khowai,10,FALSE,9.75,0.975,1,6
Arunachal Pradesh,0,16.51359653,38.76556683,30.3,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,87.73,0.83,0,3
Arunachal Pradesh,0,0,10.12863058,32.5,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,66.17,0.626,0,6
Manipur,0,8.13863492,31.70803714,8.4,2,Imphal River,8,FALSE,2.8,0.35,1,5
Arunachal Pradesh,0,17.24161458,101.1678066,29.1,4,Brahmaputra (Dibrugarh gauge),105.7,TRUE,58.03,0.549,1,10
Meghalaya,21.392918,42.08802557,45.31353033,19.7,1,Brahmaputra (Goalpara gauge),36.27,TRUE,35.07,0.967,1,6
Assam,8.699665,50.27385807,107.0471182,4.6,1,Brahmaputra (Tezpur gauge),65.23,TRUE,68.36,1.048,1,7
Mizoram,0,0.531038001,1.261629939,19.7,0,Barak,20.5,FALSE,9.51,0.464,0,4
Arunachal Pradesh,125.003,194.6269918,213.0727153,31.6,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,78.64,0.744,1,5
Nagaland,54.437565,57.28434873,64.76510119,17.9,0,Dhansiri,40,FALSE,19.28,0.482,1,4
Assam,0,3.569117308,52.25038457,5,0,Subansiri,42,FALSE,41.08,0.978,1,9
Arunachal Pradesh,0.0618459,6.198706448,6.232545961,28.5,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,45.87,0.434,0,9
Manipur,5.4031463,49.63371611,80.14241159,19.6,1,Barak,20.5,FALSE,9.41,0.459,1,5
Assam,0,0.852238953,7.746835694,7.3,0,Manas,33,FALSE,16.04,0.486,1,4
Sikkim,0,0,1.774278045,23.3,0,Teesta,15,FALSE,7.32,0.488,1,1
Meghalaya,0.005780474,0.005780474,0.005780474,18.7,0,Brahmaputra (Guwahati gauge),49.68,TRUE,40.14,0.808,0,2
Tripura,0,0,0,13.5,0,Khowai,10,FALSE,3.67,0.367,1,2
Mizoram,0.7065817,30.98793757,101.1628224,20.3,0,Tlawng,9,FALSE,10.64,1.182,1,9
Assam,32.282143,32.74753496,36.72004506,6.5,0,Manas,33,FALSE,36.37,1.102,0,6
Assam,8.723347,148.8216209,175.7786796,9.3,1,Kopili,30,FALSE,22.65,0.755,1,6
Mizoram,0,0,39.64218497,19.4,0,Tlawng,9,FALSE,3.57,0.397,0,10
Arunachal Pradesh,15.484551,19.41657393,131.2689094,29.7,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,86.25,0.816,0,4
Arunachal Pradesh,4.058167,21.29842138,48.58851793,15.9,0,Subansiri,42,FALSE,15.96,0.38,1,10
Tripura,2.7037528,5.266349554,9.653037429,14.9,0,Gomti,12,FALSE,5.44,0.453,0,3
Meghalaya,58.65569,192.7445793,396.2884102,20.5,1,Brahmaputra (Guwahati gauge),49.68,TRUE,48.84,0.983,1,8
Arunachal Pradesh,31.899456,78.73150444,182.3100109,30.5,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,60.88,0.576,1,10
Arunachal Pradesh,46.754795,70.09401703,135.8021502,27.7,5,Brahmaputra (Dibrugarh gauge),105.7,TRUE,73.88,0.699,1,8
Tripura,0,0,0,14.9,0,Gomti,12,FALSE,3.82,0.318,0,1
Arunachal Pradesh,4.821066,94.3664608,147.4922249,27.9,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,63.1,0.597,1,6
Nagaland,0,0,0,13.7,1,Brahmaputra (Neamatighat gauge),85.05,TRUE,34.45,0.405,1,12
Arunachal Pradesh,0,0,20.30195045,20.1,1,Subansiri,42,FALSE,11.72,0.279,1,5
Mizoram,6.5253863,33.46762609,127.5254378,22.2,1,Tlawng,9,FALSE,8.57,0.952,1,8
Manipur,9.385424,48.09112835,103.9829719,20.7,2,Barak,20.5,FALSE,18.14,0.885,1,7
Assam,5.0099807,34.56255078,80.4835279,7.3,0,Manas,33,FALSE,28.97,0.878,1,4
Arunachal Pradesh,0,0,1.999999762,33.2,2,Brahmaputra (Dibrugarh gauge),105.7,TRUE,42.07,0.398,0,11
Mizoram,0,0,0,19.7,0,Barak,20.5,FALSE,8.12,0.396,1,12
Sikkim,76.98367,193.7598457,248.3237801,34.2,1,Teesta,15,FALSE,13.6,0.907,1,6
Tripura,0,22.27198982,47.83285022,18,1,Gomti,12,FALSE,5.18,0.432,0,6
Arunachal Pradesh,0,2.842790276,14.75485727,16.5,1,Dikrong,14,FALSE,5.98,0.427,1,2
Tripura,0.5048868,17.63340968,31.08241954,20.2,1,Gomti,12,FALSE,8.22,0.685,0,6
Sikkim,0,0,2.022912502,32.4,0,Teesta,15,FALSE,4.83,0.322,0,11
Meghalaya,0.7818981,11.07298332,11.90286699,23.5,1,Barak,20.5,FALSE,10.02,0.489,1,9
Sikkim,88.30393,205.6825066,262.7418122,31.9,1,Teesta,15,FALSE,12.82,0.855,1,6
Tripura,0,0,0,17.3,0,Gomti,12,FALSE,4.1,0.342,0,12
Assam,56.17424,273.8112564,390.4889792,4.3,0,Manas,33,FALSE,35.38,1.072,1,6
Meghalaya,243.6767,272.2387428,369.4477644,17.7,1,Brahmaputra (Goalpara gauge),36.27,TRUE,36.2,0.998,1,5
Assam,0,12.88562775,66.08241829,6.9,0,Brahmaputra (Guwahati gauge),49.68,TRUE,26.58,0.535,0,6
Mizoram,20.115746,38.75616455,96.84464264,19.4,0,Tlawng,9,FALSE,5.53,0.614,0,9
Mizoram,55.49927,55.96680433,55.96680433,24,1,Tlawng,9,FALSE,3.33,0.37,1,5
Mizoram,104.39228,186.4806194,281.0532222,22.2,1,Tlawng,9,FALSE,8.13,0.903,1,5
Meghalaya,6.558078,26.78821468,88.95306206,20.9,2,Barak,20.5,FALSE,21.12,1.03,1,8
Mizoram,0,0,0,19.4,0,Tlawng,9,FALSE,2.57,0.286,0,12
Meghalaya,0,0,0,20.6,0,Brahmaputra (Dhubri gauge),28.62,TRUE,9.39,0.328,0,10
Tripura,58.234684,103.3437204,111.2029233,17.2,0,Gomti,12,FALSE,6.01,0.501,1,9
Sikkim,1.297432,36.39862633,105.3351389,28,1,Teesta,15,FALSE,7.36,0.491,0,5
Manipur,0,0,0,6.7,0,Doyang,18,FALSE,8.84,0.491,0,12
Arunachal Pradesh,0.82177347,61.42168158,121.473638,30.5,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,59.83,0.566,1,9
Manipur,0,10.99212456,36.52982128,18.6,1,Imphal River,8,FALSE,7.26,0.908,0,7
Arunachal Pradesh,0,0.976632595,37.30901003,24.7,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,71.14,0.673,0,7
Nagaland,0.6573253,49.21588665,108.5480948,16.8,2,Brahmaputra (Dibrugarh gauge),105.7,TRUE,69.13,0.654,0,9
Arunachal Pradesh,79.0475,112.995923,145.2941794,13.8,0,Dikrong,14,FALSE,8.88,0.634,1,8
Meghalaya,3.695704,4.895673513,36.90596569,18.2,1,Manas,33,FALSE,35.01,1.061,1,8
Meghalaya,0,0,0,21.9,1,Brahmaputra (Guwahati gauge),49.68,TRUE,44.07,0.887,0,11
Arunachal Pradesh,1.4049152,2.762862921,3.060915053,32.5,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,54.44,0.515,0,2
Arunachal Pradesh,22.636034,69.97847748,151.2672997,9.4,0,Dikrong,14,FALSE,9.03,0.645,0,7
Meghalaya,0,0.431514889,5.593423039,15.7,1,Brahmaputra (Dhubri gauge),28.62,TRUE,25.16,0.879,1,6
Assam,0,61.4153223,61.4153223,8.3,0,Brahmaputra (Goalpara gauge),36.27,TRUE,20.82,0.574,1,9
Sikkim,26.012442,38.49093223,145.0790203,33.6,1,Teesta,15,FALSE,8.52,0.568,0,5
Sikkim,28.536335,42.81500816,45.40426993,34.9,3,Teesta,15,FALSE,5.31,0.354,1,10
Meghalaya,0,0.299005777,4.707311898,23,0,Kopili,30,FALSE,13.2,0.44,1,9
Assam,6.3014708,17.50756645,39.298069,6.8,0,Brahmaputra (Tezpur gauge),65.23,TRUE,40.83,0.626,0,7
Arunachal Pradesh,17.871412,32.38783932,58.95450175,20.4,0,Brahmaputra (Tezpur gauge),65.23,TRUE,34.64,0.531,0,5
Manipur,60.329746,179.7515221,206.0902912,16.8,0,Barak,20.5,FALSE,22.08,1.077,1,6
Assam,12.2077055,19.86366653,19.86366653,4.9,1,Manas,33,FALSE,11.42,0.346,0,5
Nagaland,54.272045,56.71313334,149.0366416,13.7,1,Brahmaputra (Neamatighat gauge),85.05,TRUE,42.01,0.494,1,4
Meghalaya,0,0,0,15.9,1,Brahmaputra (Dhubri gauge),28.62,TRUE,16.43,0.574,1,3
Arunachal Pradesh,27.2,194.1999893,229.3999898,35.6,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,119.34,1.129,1,6
Manipur,5.8317757,24.63047242,67.73583215,13.9,1,Imphal River,8,FALSE,5.84,0.73,0,8
Nagaland,0,0,0,17.5,2,Dhansiri,40,FALSE,11.08,0.277,1,12
Tripura,85.81984,196.2270889,265.2878184,12.8,1,Gomti,12,FALSE,10.81,0.901,1,6
Mizoram,29.926899,36.82365823,88.63398004,20.3,0,Tlawng,9,FALSE,3.94,0.438,0,6
Arunachal Pradesh,0.119765356,0.119765356,0.119765356,22.2,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,32.13,0.304,1,12
Nagaland,4.362304,12.28930497,51.88161534,17.4,0,Doyang,18,FALSE,10.62,0.59,0,5
Tripura,2.0013185,8.764963508,22.20660701,12.8,1,Gomti,12,FALSE,5.18,0.432,1,9
Assam,0,0,9.214539528,4.3,0,Manas,33,FALSE,11.42,0.346,1,5
Manipur,0,0,8.670940161,14.2,0,Imphal River,8,FALSE,8.2,1.025,1,10
Arunachal Pradesh,0,0,0,30.2,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,34.46,0.326,1,1
Assam,161.55981,169.6524307,249.483663,6.3,0,Brahmaputra (Goalpara gauge),36.27,TRUE,32.72,0.902,1,8
Mizoram,108.60364,192.3994236,292.3364649,23.3,0,Tlawng,9,FALSE,6.88,0.764,1,5
Mizoram,63.559315,68.19963682,84.96506628,22.1,2,Tlawng,9,FALSE,5.74,0.638,1,7
Manipur,3.6375344,7.064635992,52.72323489,9.7,0,Doyang,18,FALSE,9.86,0.548,0,6
Nagaland,0,2.925574362,7.536622584,20.5,0,Kopili,30,FALSE,26.22,0.874,1,4
Arunachal Pradesh,19.952341,45.3669405,134.9211884,27.8,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,102.85,0.973,0,7
Nagaland,0,0.204634979,24.31206734,15.4,0,Dikrong,14,FALSE,5.04,0.36,0,3
Arunachal Pradesh,2.474347,3.374405801,9.655243635,19.6,3,Subansiri,42,FALSE,14.24,0.339,0,12
Meghalaya,30.987118,65.8383379,89.98169355,17.7,1,Brahmaputra (Goalpara gauge),36.27,TRUE,22.41,0.618,1,6
Nagaland,97.22261,141.20506,145.2701411,13.2,1,Brahmaputra (Neamatighat gauge),85.05,TRUE,80.37,0.945,1,7
Meghalaya,145.45158,296.7721987,395.3873563,24.2,0,Brahmaputra (Goalpara gauge),36.27,TRUE,47.15,1.3,1,6
Nagaland,30.7753,41.96390653,113.3271713,18,1,Brahmaputra (Tezpur gauge),65.23,TRUE,25.96,0.398,1,5
Tripura,50.717617,217.4980216,297.6621882,17.1,0,Gomti,12,FALSE,10.55,0.879,0,8
Tripura,0,0,0,17.3,0,Gomti,12,FALSE,4.03,0.336,1,1
Assam,0.41819504,26.12699249,347.6275695,4.9,1,Manas,33,FALSE,28.97,0.878,0,6
Nagaland,0.83828217,0.838282168,0.838282168,15.4,0,Dikrong,14,FALSE,13.12,0.937,1,12
Manipur,0,0,0,16.8,0,Barak,20.5,FALSE,7.05,0.344,0,1
Arunachal Pradesh,100.568436,119.9782348,260.1639209,31.6,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,91.64,0.867,1,4
Assam,0,0,0,5.7,1,Manas,33,FALSE,32.21,0.976,1,1
Arunachal Pradesh,0,0.663742423,1.130998515,20.8,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,33.4,0.316,0,2
Arunachal Pradesh,128.64026,181.8813167,194.1759889,23.4,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,78.11,0.739,1,5
Assam,34.291622,143.1376705,201.206377,4.3,0,Brahmaputra (Tezpur gauge),65.23,TRUE,84.28,1.292,1,7
Arunachal Pradesh,78.504654,106.148093,161.840992,23.7,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,76.32,0.722,0,8
Arunachal Pradesh,3.7971008,9.563817739,12.57500249,28.8,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,55.7,0.527,1,7
Arunachal Pradesh,0,0,0,28.6,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,71.14,0.673,0,2
Arunachal Pradesh,0,0,2.078777313,31.6,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,49.04,0.464,1,5
Tripura,0,0,0,13.7,0,Gomti,12,FALSE,3.74,0.312,1,12
Meghalaya,295.38037,472.397089,507.6826648,20.2,0,Brahmaputra (Guwahati gauge),49.68,TRUE,64.58,1.3,1,6
Meghalaya,0,0,0,27.5,3,Brahmaputra (Guwahati gauge),49.68,TRUE,13.76,0.277,1,1
Assam,60.458466,160.4104538,361.6471996,4.8,0,Brahmaputra (Tezpur gauge),65.23,TRUE,62.23,0.954,1,6
Arunachal Pradesh,51.253952,126.4203262,128.4140891,30.3,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,65.75,0.622,1,4
Arunachal Pradesh,0,0,23.14728853,27.7,5,Brahmaputra (Dibrugarh gauge),105.7,TRUE,46.61,0.441,0,5
Arunachal Pradesh,94.677574,216.6613274,350.0961113,29.1,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,105.7,1,1,6
Meghalaya,7.182259,11.41324238,35.52319054,22.3,0,Brahmaputra (Guwahati gauge),49.68,TRUE,47.89,0.964,1,8
Nagaland,53.620014,106.6213322,166.6406341,15.4,0,Dikrong,14,FALSE,6.34,0.453,0,5
Manipur,4.1979804,31.62014163,138.1477355,15.8,1,Doyang,18,FALSE,10.64,0.591,0,6
Assam,0,0,0,11.2,0,Brahmaputra (Dhubri gauge),28.62,TRUE,9.42,0.329,0,4
Manipur,18.495584,74.19311261,157.1305521,10.7,0,Imphal River,8,FALSE,9.37,1.171,1,7
Nagaland,16.670902,20.49775988,22.75550932,11.2,0,Doyang,18,FALSE,17.12,0.951,0,6
Meghalaya,43.471985,111.846806,355.802511,16.4,0,Brahmaputra (Dhubri gauge),28.62,TRUE,23.15,0.809,0,5
Arunachal Pradesh,2.558113,2.558113098,12.65614176,22.2,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,88.47,0.837,1,4
Arunachal Pradesh,82.23419,82.33228793,223.104332,31.1,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,91.96,0.87,0,8
Assam,0,0,0,5.5,0,Manas,33,FALSE,12.38,0.375,0,10
Arunachal Pradesh,0,4.272199631,38.70649472,34,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,43.76,0.414,1,11
Manipur,3.1483247,13.53606892,13.53606892,16,2,Imphal River,8,FALSE,3.3,0.412,0,5
Nagaland,0,40.58332407,44.61433327,17.8,0,Dikrong,14,FALSE,13.4,0.957,1,9
Arunachal Pradesh,3.176683,8.898531318,25.79432356,9.4,0,Dikrong,14,FALSE,6.36,0.454,0,8
Mizoram,0,0,8.745596647,19.7,0,Barak,20.5,FALSE,7.34,0.358,1,4
Arunachal Pradesh,50.00643,72.95631254,80.84091699,15.3,1,Dikrong,14,FALSE,6.02,0.43,0,5
Mizoram,54.273014,97.81561089,201.9598026,23.4,0,Tlawng,9,FALSE,11.21,1.246,1,9
Meghalaya,0,86.16879082,654.8641186,17.5,0,Brahmaputra (Dhubri gauge),28.62,TRUE,37.21,1.3,1,6
Arunachal Pradesh,0,0,0,29.4,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,32.45,0.307,1,12
Mizoram,9.862921,26.86040449,86.0166564,23.3,0,Tlawng,9,FALSE,8.72,0.969,0,8
Assam,57.089214,61.88811174,62.14819956,5,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,60.78,0.575,1,4
Arunachal Pradesh,11.03013,12.57811266,31.83162075,24.1,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,48.73,0.461,1,3
Assam,0.57984185,3.692783833,11.5001092,3.2,1,Manas,33,FALSE,18.51,0.561,1,8
Arunachal Pradesh,3.959261,122.0296726,330.2637768,28.1,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,99.68,0.943,1,7
Meghalaya,99.16441,139.6519113,367.5284181,24.2,0,Brahmaputra (Goalpara gauge),36.27,TRUE,38.41,1.059,1,8
Arunachal Pradesh,1.3331512,106.0875162,355.9325592,28.8,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,99.89,0.945,0,7
Mizoram,0,0,0,24,1,Tlawng,9,FALSE,4.16,0.462,1,3
Arunachal Pradesh,0,4.037140846,41.11537206,17.4,1,Dikrong,14,FALSE,6.17,0.441,0,5
Assam,9.964845,14.90522021,27.87497634,11.2,0,Brahmaputra (Dhubri gauge),28.62,TRUE,24.9,0.87,1,5
Arunachal Pradesh,15.899498,34.87078667,34.87078667,27.1,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,42.91,0.406,0,4
Meghalaya,3.8096933,68.79378605,172.5436563,20,3,Barak,20.5,FALSE,17.49,0.853,1,8
Arunachal Pradesh,18.72199,29.2433182,42.00999177,34,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,52.64,0.498,1,2
Sikkim,3.198314,3.198313951,3.198313951,35.2,1,Teesta,15,FALSE,6.09,0.406,1,2
Tripura,0,0,0,17.1,0,Gomti,12,FALSE,4.1,0.342,1,3
Arunachal Pradesh,183.19998,543.5999756,653.4999657,35.6,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,131.39,1.243,1,7
Tripura,86.73001,307.0029488,400.9963779,13.5,0,Gomti,12,FALSE,15.6,1.3,1,8
Arunachal Pradesh,0,0.403024346,9.377028495,26.3,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,56.44,0.534,0,3
Nagaland,5.6562595,147.5611286,165.3588268,12.2,1,Dikrong,14,FALSE,9,0.643,0,6
Tripura,4.1931443,11.81481288,129.6339743,16.3,0,Gomti,12,FALSE,12.66,1.055,1,9
Assam,78.25235,219.0727043,221.7262447,8.3,1,Brahmaputra (Goalpara gauge),36.27,TRUE,42.33,1.167,1,9
Mizoram,16.635,59.85451317,84.81184006,19.4,0,Tlawng,9,FALSE,5.9,0.655,1,9
Assam,0,0,0.270364285,9.3,1,Kopili,30,FALSE,10.08,0.336,1,1
Nagaland,0,0,0,10.6,0,Brahmaputra (Neamatighat gauge),85.05,TRUE,38.19,0.449,1,1
Assam,2.875296,9.04317522,87.58889866,10.2,0,Manas,33,FALSE,26.9,0.815,1,9
Manipur,2.9824843,7.680963367,9.073266953,10.7,0,Imphal River,8,FALSE,4.54,0.567,0,7
Manipur,0,37.04293823,96.27004957,17.5,1,Barak,20.5,FALSE,14.23,0.694,1,9
Meghalaya,104.54645,605.8639069,1654.10193,20.5,1,Brahmaputra (Guwahati gauge),49.68,TRUE,64.24,1.293,1,6
Meghalaya,0.6194437,0.619443715,0.619443715,17.3,0,Brahmaputra (Goalpara gauge),36.27,TRUE,31.08,0.857,0,11
Tripura,68.02896,71.65031052,71.65031052,14.8,1,Khowai,10,FALSE,5.43,0.543,1,2
Mizoram,15.9219265,60.71174526,153.2743349,19.4,0,Tlawng,9,FALSE,8.18,0.909,0,8
Mizoram,61.25667,114.950489,154.2038727,24.2,1,Tlawng,9,FALSE,4.4,0.489,1,5
Sikkim,0,0,0,33.6,1,Teesta,15,FALSE,7.5,0.5,1,2
Tripura,6.6900167,32.83546422,37.76185672,20.2,1,Gomti,12,FALSE,9.92,0.827,0,6
Assam,42.074062,167.446907,371.1369658,6,1,Brahmaputra (Dhubri gauge),28.62,TRUE,29.19,1.02,1,7
Meghalaya,61.43661,144.3403225,198.1670614,21.3,1,Brahmaputra (Goalpara gauge),36.27,TRUE,32.03,0.883,1,8
Manipur,0.12781458,40.857096,40.857096,14.2,1,Imphal River,8,FALSE,6.82,0.853,1,11
Sikkim,42.954346,157.3265076,201.5424671,33.4,1,Teesta,15,FALSE,14.6,0.973,1,6
